geo_key,county_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
09020020008,金門縣,金沙鎮,浦山里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,5,0.53,935,15,950,2290,41.48,09,020,00,020,0008
09020030001,金門縣,金湖鎮,新市里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,114,7.02,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030001,金門縣,金湖鎮,新市里,2,朱紀瑋,龍黨,1,61,N,NA,5,0.31,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030001,金門縣,金湖鎮,新市里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,2,0.12,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030001,金門縣,金湖鎮,新市里,4,楊鎮浯,中國國民黨,1,50,Y,NA,696,42.86,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030001,金門縣,金湖鎮,新市里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,788,48.52,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030001,金門縣,金湖鎮,新市里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,19,1.17,1624,38,1662,3824,43.46,09,020,00,030,0001
09020030002,金門縣,金湖鎮,山外里,1,李應文,無黨籍及未經政黨推薦,1,43,N,NA,115,8.86,1298,26,1324,3313,39.96,09,020,00,030,0002
09020030002,金門縣,金湖鎮,山外里,2,朱紀瑋,龍黨,1,61,N,NA,16,1.23,1298,26,1324,3313,39.96,09,020,00,030,0002
09020030002,金門縣,金湖鎮,山外里,3,林志錦,無黨籍及未經政黨推薦,1,50,N,NA,4,0.31,1298,26,1324,3313,39.96,09,020,00,030,0002
09020030002,金門縣,金湖鎮,山外里,4,楊鎮浯,中國國民黨,1,50,Y,NA,388,29.89,1298,26,1324,3313,39.96,09,020,00,030,0002
09020030002,金門縣,金湖鎮,山外里,5,陳福海,無黨籍及未經政黨推薦,1,59,N,*,761,58.63,1298,26,1324,3313,39.96,09,020,00,030,0002
09020030002,金門縣,金湖鎮,山外里,6,洪志恒,無黨籍及未經政黨推薦,1,54,N,NA,14,1.08,1298,26,1324,3313,39.96,09,020,00,030,0002
